race_id	着順	枠	馬番	馬名	性齢	斤量	騎手	タイム	着差	人気	単勝オッズ	後3F	コーナー通過順	厩舎	馬体重(増減)	horse_id	jockey_id	trainer_id
202205050606	1	7	13	アーバンシック	牡3	57.0	ルメー	3:04.1		2	3.7	35.6	8-8-5-3	美浦武井	510(0)	2021105436	05339	01147
202205050606	2	8	16	ヘデントール	牡3	57.0	戸崎圭	3:04.5	2.1/2	4	7.1	35.8	17-16-8-5	美浦木村	472(-8)	2021105521	05386	01126
202205050606	3	8	17	アドマイヤテラ	牡3	57.0	武豊	3:04.5	ハナ	6	23.6	36.3	15-12-2-1	栗東友道	482(+4)	2021105369	00666	01061
202205050606	4	6	11	ショウナンラプンタ	牡3	57.0	鮫島駿	3:04.5	クビ	7	23.6	35.8	10-10-10-4	栗東高野	536(+6)	2021105195	01157	01117
202205050606	5	4	7	ビザンチンドリーム	牡3	57.0	シュタ	3:04.6	クビ	9	41.5	35.4	12-15-14-10	栗東坂口	456(-2)	2021105587	05115	01170
202205050606	6	2	4	ダノンデサイル	牡3	57.0	横山典	3:04.8	1.1/2	1	2.9	35.5	8-9-14-15	栗東安田	522(+18)	2021105143	00660	01164
202205050606	7	6	12	シュバルツクーゲル	牡3	57.0	松山	3:06.0	7	14	99.1	37.8	4-4-1-2	美浦鹿戸	486(-2)	2021104882	01126	01097
202205050606	8	3	5	ハヤテノフクノスケ	牡3	57.0	岩田望	3:06.3	1.1/2	15	120.2	37.1	12-12-14-14	栗東中村	516(0)	2021109070	01174	01186
202205050606	9	7	15	エコロヴァルツ	牡3	57.0	岩田康	3:06.3	ハナ	12	68.3	37.2	6-6-11-13	栗東牧浦	488(+4)	2021101436	05203	01113
202205050606	10	8	18	アレグロブリランテ	牡3	57.0	横山和	3:07.1	5	18	291.1	37.1	12-12-17-16	美浦上原佑	466(0)	2021105625	01140	01192
202205050606	11	4	8	ウエストナウ	牡3	57.0	西村淳	3:07.2	3/4	11	55.2	38.2	7-6-8-8	栗東佐々木	488(-4)	2021106645	01171	00429
202205050606	12	3	6	ミスタージーティー	牡3	57.0	坂井	3:07.3	1/2	13	79.5	38.5	4-4-5-10	栗東矢作	474(+2)	2021105856	01163	01075
202205050606	13	7	14	メリオーレム	牡3	57.0	藤岡佑	3:08.0	4	10	51.5	38.9	10-10-11-8	栗東友道	488(+2)	2021104791	01093	01061
202205050606	14	5	9	コスモキュランダ	牡3	57.0	Ｍデム	3:08.4	2.1/2	3	6.0	39.4	16-16-11-6	美浦加藤士	512(+8)	2021106787	05212	01169
202205050606	15	1	1	ピースワンデュック	牡3	57.0	柴田善	3:09.1	4	8	26.2	40.4	1-1-2-6	美浦大竹	452(-2)	2021101134	00641	01102
202205050606	16	5	10	メイショウタバル	牡3	57.0	浜中	3:09.3	1.1/4	5	9.6	40.7	2-2-2-10	栗東石橋	502(+6)	2021103272	01115	01140
202205050606	17	2	3	アスクカムオンモア	牡3	57.0	北村友	3:09.8	3	16	184.1	39.8	18-18-18-16	栗東藤原	484(+2)	2021105236	01102	01055
202205050606	18	1	2	ノーブルスカイ	牡3	57.0	池添	3:19.7	大	17	253.6	50.5	3-2-5-16	栗東高柳大	464(-2)	2021102256	01032	01159
