	race_id	horse_id	jockey_id	trainer_id	rank	sex	age	weight	weight_diff	tansho_odds	popularity	impost	wakuban	umaban
14	202205050606	2021101134	641	1102	15	0	3	452	-2	26.2	8	57.0	1	1
17	202205050606	2021102256	1032	1159	18	0	3	464	-2	253.6	17	57.0	1	2
16	202205050606	2021105236	1102	1055	17	0	3	484	2	184.1	16	57.0	2	3
5	202205050606	2021105143	660	1164	6	0	3	522	18	2.9	1	57.0	2	4
7	202205050606	2021109070	1174	1186	8	0	3	516	0	120.2	15	57.0	3	5
11	202205050606	2021105856	1163	1075	12	0	3	474	2	79.5	13	57.0	3	6
4	202205050606	2021105587	5115	1170	5	0	3	456	-2	41.5	9	57.0	4	7
10	202205050606	2021106645	1171	429	11	0	3	488	-4	55.2	11	57.0	4	8
13	202205050606	2021106787	5212	1169	14	0	3	512	8	6.0	3	57.0	5	9
15	202205050606	2021103272	1115	1140	16	0	3	502	6	9.6	5	57.0	5	10
3	202205050606	2021105195	1157	1117	4	0	3	536	6	23.6	7	57.0	6	11
6	202205050606	2021104882	1126	1097	7	0	3	486	-2	99.1	14	57.0	6	12
0	202205050606	2021105436	5339	1147	1	0	3	510	0	3.7	2	57.0	7	13
12	202205050606	2021104791	1093	1061	13	0	3	488	2	51.5	10	57.0	7	14
8	202205050606	2021101436	5203	1113	9	0	3	488	4	68.3	12	57.0	7	15
1	202205050606	2021105521	5386	1126	2	0	3	472	-8	7.1	4	57.0	8	16
2	202205050606	2021105369	666	1061	3	0	3	482	4	23.6	6	57.0	8	17
9	202205050606	2021105625	1140	1192	10	0	3	466	0	291.1	18	57.0	8	18
