race_id	着順	枠	馬番	馬名	性齢	斤量	騎手	タイム	着差	人気	単勝オッズ	後3F	コーナー通過順	厩舎	馬体重(増減)	horse_id	jockey_id	trainer_id
202305020501	1	1	2	フィールザオーラ	牝3	54.0	三浦	1:39.9		2.0	4.5	40.1	1-1	美浦武井	452(-10)	2020103565	01122	01147
202305020501	2	8	16	サヴァリア	牝3	54.0	津村	1:40.2	1.3/4	3.0	8.1	39.7	6-6	美浦小島	458(-4)	2020103628	01092	01068
202305020501	3	6	11	スピリチュアル	牝3	54.0	内田博	1:40.3	1	4.0	10.2	40.3	2-2	美浦武藤	428(-6)	2020104634	00422	01064
202305020501	4	2	3	ヒメワカバ	牝3	54.0	吉田豊	1:40.4	クビ	5.0	15.6	39.0	12-12	美浦高橋文	490(+6)	2020105056	00733	01134
202305020501	5	6	12	パールシェル	牝3	54.0	レーン	1:40.6	1	1.0	1.5	40.5	4-4	美浦萩原	452(0)	2020103564	05585	01017
202305020501	6	5	9	モンセラット	牝3	54.0	横山武	1:40.9	2	7.0	40.6	40.9	2-2	美浦斎藤誠	464(-2)	2020100709	01170	01086
202305020501	7	4	8	ホウオウヴィーナス	牝3	54.0	菅原明	1:41.2	1.3/4	8.0	85.2	40.6	6-6	美浦高木	504(-10)	2020103936	01179	01088
202305020501	8	3	5	キッカケ	牝3	54.0	木幡巧	1:41.3	3/4	6.0	28.6	40.4	8-8	美浦伊藤大	412(-10)	2020105943	01162	01109
202305020501	9	3	6	イチゴホイップ	牝3	54.0	丸田	1:41.4	クビ	16.0	498.7	39.6	16-14	美浦的場	454(-3)	2020107092	01117	01063
202305020501	10	7	13	マリノファルコン	牝3	54.0	柴田善	1:41.5	1/2	9.0	90.6	40.2	10-10	美浦水野	506(-6)	2020101426	00641	01094
202305020501	11	2	4	レイズオブスター	牝3	54.0	柴田大	1:41.7	1	10.0	223.7	39.8	15-14	美浦松山	462(+6)	2020102230	01009	01100
202305020501	12	5	10	ブロードアクト	牝3	54.0	古川吉	1:41.7	アタマ	15.0	471.3	40.5	9-10	美浦杉浦	460(-2)	2020104294	01015	01008
202305020501	13	1	1	モノノフピンク	牝3	51.0	▲小林勝	1:42.1	2.1/2	12.0	248.3	41.7	4-5	美浦小笠	462(+8)	2020107024	01205	01076
202305020501	14	8	15	クラシカルタイプ	牝3	53.0	☆永野	1:42.4	1.1/2	13.0	297.3	41.3	10-9	美浦池上	454(+10)	2020106830	01188	01150
202305020501	15	7	14	アイヴカムバック	牝3	54.0	大野	1:42.8	2.1/2	14.0	451.3	41.3	12-12	美浦松山	430(+2)	2020106989	01096	01100
202305020501	16	4	7	ギフトオブザナイル	牝3	54.0	杉原	1:43.4	3.1/2	11.0	246.9	41.6	12-14	美浦和田郎	428(-4)	2020102893	01135	01114
202305020502	1	6	11	ハヤブサジェット	セ3	56.0	石川	1:18.9		1.0	1.9	36.9	3-3	美浦青木	444(-14)	2020105049	01150	01156
202305020502	2	8	16	クリノアルバトロス	牡3	56.0	松岡	1:19.8	5	3.0	10.1	36.7	10-10	美浦伊藤伸	496(0)	2020101983	01085	01031
202305020502	3	1	2	サクセスバラード	牡3	56.0	横山武	1:20.1	1.1/2	2.0	2.6	37.8	4-4	美浦竹内	460(+2)	2020104898	01170	01152
202305020502	4	4	8	ジェイエルバルカー	牡3	56.0	木幡巧	1:20.2	1/2	11.0	330.1	38.4	1-1	美浦小西	496(+2)	2020100131	01162	00405
202305020502	5	8	15	イーデンテソーロ	牡3	56.0	戸崎圭	1:20.4	1	5.0	19.1	37.7	7-7	美浦畠山	460(+4)	2020102384	05386	01048
202305020502	6	2	3	オブシディアン	牡3	56.0	大野	1:21.3	5	9.0	52.6	37.4	16-15	美浦浅野	504(-2)	2020100307	01096	00421
202305020502	7	7	13	ドラヴァイト	牡3	56.0	丸田	1:21.4	3/4	8.0	46.8	38.4	9-9	美浦加藤和	440(+2)	2020103935	01117	01077
202305020502	8	3	6	オータムエッジ	牡3	55.0	☆永野	1:21.5	クビ	6.0	20.1	38.3	12-12	美浦金成	460(+6)	2020100501	01188	01132
202305020502	9	7	14	マテンロウブルース	牡3	56.0	岩部	1:21.7	1.1/2	12.0	469.2	38.0	14-14	美浦浅野	446(+2)	2020106426	00726	00421
202305020502	10	5	10	フジジュンフェイス	牝3	54.0	杉原	1:21.9	3/4	4.0	18.1	38.8	10-10	美浦伊藤大	438(-12)	2020105332	01135	01109
202305020502	11	2	4	イチザブレーヴ	牡3	56.0	野中	1:22.1	1.1/4	14.0	714.4	38.5	12-13	美浦根本	458(+2)	2020109124	01158	01029
202305020502	12	5	9	ニシノレールガン	牝3	51.0	▲小林勝	1:22.1	ハナ	10.0	120.3	40.2	2-2	美浦武藤	454(+2)	2020106361	01205	01064
202305020502	13	1	1	グランドジャヌー	牡3	56.0	宮崎	1:22.1	クビ	15.0	718.7	39.4	8-7	美浦本間	462(+3)	2020104047	01118	01056
202305020502	14	3	5	モモロイヤル	牝3	54.0	田辺	1:22.5	2.1/2	7.0	30.9	39.9	6-6	美浦尾形	456(-8)	2020101859	01075	01141
202305020502	15	6	12	ノースサイド	牡3	56.0	古川吉	1:22.7	1	16.0	775.6	38.4	15-16	美浦勢司	476(+6)	2020104583	01015	01047
202305020502	16	4	7	ジンジャーパン	牡3	56.0	西村太	1:23.5	5	13.0	559.8	41.2	4-4	美浦伊藤圭	426(-8)	2020103040	01131	01023
202305020503	1	5	10	レディアス	牝3	54.0	津村	1:25.7		1.0	1.7	37.6	3-3	美浦鈴木慎	422(-2)	2020102562	01092	01179
202305020503	2	2	3	サイタブラウン	牡3	56.0	木幡巧	1:26.6	5	4.0	11.2	38.4	3-3	美浦杉浦	458(-4)	2020106479	01162	01008
202305020503	3	6	11	エリカボニータ	牝3	51.0	▲小林勝	1:26.9	1.3/4	8.0	26.4	39.0	2-2	美浦伊藤圭	468(-18)	2020110003	01205	01023
202305020503	4	7	14	マーゴットバモス	牡3	56.0	丸田	1:27.1	1.1/4	2.0	5.4	38.8	5-5	美浦伊坂	484(-10)	2020100450	01117	01177
